cohort,'next 10' Wikipedias,Commons,English Wikipedia,Wikidata,other projects
2018-01-01,0.0646835584328608,0.03673938002296211,0.09983753967054557,0.05133928571428571,0.048722712494194145
2018-02-01,0.06316602316602317,0.036462699077954734,0.07545339519190215,0.06374501992031872,0.05687773450646666
2018-03-01,0.06502242152466367,0.026148969889064972,0.06705438962330929,0.05202312138728324,0.06009376972319899
2018-04-01,0.06493466752348603,0.03411860276198213,0.05750970192387086,0.043478260869565216,0.04799805872361077
2018-05-01,0.05364716456478387,0.015325121741621312,0.04883695769771719,0.04259634888438134,0.04282509023509901
2018-06-01,0.054946455889852114,0.016673614005835766,0.05478554263659975,0.054466230936819175,0.04725109789315693
2018-07-01,0.06485780116235083,0.03683492496589359,0.05386196059470567,0.05154639175257732,0.053049939519612926
2018-08-01,0.05875598713995145,0.0438034188034188,0.07801856169706944,0.05681818181818181,0.05515771059968294
2018-09-01,0.06381981756841185,0.014909638554216868,0.09207243633860976,0.03588907014681892,0.05920595533498759
2018-10-01,0.0668198300440114,0.02491408934707904,0.07903629785711445,0.03204272363150868,0.07356662885068505
2018-11-01,0.05910987482614743,0.034765625,0.052087862037554604,0.03965517241379311,0.05362733697110654
2018-12-01,0.06228494966229132,0.04173989455184534,0.050878730568753174,0.04370629370629369,0.05279646180779508
2019-01-01,0.06264352469959947,0.03528945281522601,0.09076001015168968,0.03527336860670194,0.056996368297372355
2019-02-01,0.06385669125395153,0.022257551669316374,0.07959265428324443,0.052805280528052806,0.06288484848484849
2019-03-01,0.06287506819421713,0.03378378378378378,0.0740972943320076,0.03571428571428571,0.06619749285243018
2019-04-01,0.06359359143885113,0.03891213389121339,0.05972054131367587,0.05040871934604905,0.06236345580933466
2019-05-01,0.05416714106797222,0.01727654469106179,0.05184771479102671,0.045743329097839895,0.04876777251184834
2019-06-01,0.05658638876533011,0.017391304347826087,0.05469008106940456,0.04133545310015898,0.048561450191252284
2019-07-01,0.06246029357675461,0.031209362808842653,0.05777231941450698,0.07186544342507645,0.05442935333468477
2019-08-01,0.05998340248962655,0.037173202614379085,0.07442103761472252,0.052083333333333336,0.04819646968534152
2019-09-01,0.06287837534834556,0.016016016016016016,0.1044929116684842,0.0535031847133758,0.05626649404969377
2019-10-01,0.06824423669098677,0.0314900153609831,0.07309862940069874,0.03773584905660377,0.06929002706641682
2019-11-01,0.05562781944482883,0.031218864164729326,0.049849462365591395,0.041493775933609964,0.0627743833446481
2019-12-01,0.06021739130434783,0.02941176470588236,0.052806954002173126,0.04280155642023346,0.051211705532693184
2020-01-01,0.058825128442112705,0.04184761152783261,0.09307998196203827,0.035175879396984924,0.053911090177892106
