wiki,active_editors_2022,new_active_editors_2022,returning_active_editors_2022,active_editors_2023,new_active_editors_2023,returning_active_editors_2023,new_active_editors_change,returning_active_editors_change
enwiki,31677,4563.0,27114.0,30929,4065.0,26864.0,-10.91%,-0.92%
eswiki,4527,1070.0,3457.0,4370,944.0,3426.0,-11.78%,-0.9%
cswiki,675,92.0,583.0,660,80.0,580.0,-13.04%,-0.51%
idwiki,990,232.0,758.0,926,199.0,727.0,-14.22%,-4.09%
trwiki,795,193.0,602.0,706,165.0,541.0,-14.51%,-10.13%
itwiki,2357,279.0,2078.0,2186,235.0,1951.0,-15.77%,-6.11%
nlwiki,1170,154.0,1016.0,1149,124.0,1025.0,-19.48%,0.89%
wikidatawiki,12570,1619.0,10951.0,12323,1284.0,11039.0,-20.69%,0.8%
jawiki,5207,799.0,4408.0,4856,632.0,4224.0,-20.9%,-4.17%
ruwiki,3346,542.0,2804.0,3071,415.0,2656.0,-23.43%,-5.28%
huwiki,484,54.0,430.0,488,41.0,447.0,-24.07%,3.95%
metawiki,657,30.0,627.0,732,22.0,710.0,-26.67%,13.24%
enwiktionary,718,68.0,650.0,775,47.0,728.0,-30.88%,12.0%
fawiki,1560,538.0,1022.0,1314,368.0,946.0,-31.6%,-7.44%
svwiki,626,85.0,541.0,573,58.0,515.0,-31.76%,-4.81%
fiwiki,496,63.0,433.0,439,41.0,398.0,-34.92%,-8.08%
hewiki,937,131.0,806.0,989,83.0,906.0,-36.64%,12.41%
elwiki,317,63.0,254.0,269,38.0,231.0,-39.68%,-9.06%
arwiki,894,327.0,567.0,750,190.0,560.0,-41.9%,-1.23%
cawiki,476,148.0,328.0,464,140.0,324.0,-5.41%,-1.22%
ukwiki,1081,201.0,880.0,1116,190.0,926.0,-5.47%,5.23%
ptwiki,1995,537.0,1458.0,2097,507.0,1590.0,-5.59%,9.05%
plwiki,1234,116.0,1118.0,1214,108.0,1106.0,-6.9%,-1.07%
dewiki,5048,359.0,4689.0,5055,333.0,4722.0,-7.24%,0.7%
frwiki,4859,648.0,4211.0,4830,589.0,4241.0,-9.1%,0.71%
commonswiki,14049,3201.0,10848.0,14467,3230.0,11237.0,0.91%,3.59%
zhwiki,2917,343.0,2574.0,2692,347.0,2345.0,1.17%,-8.9%
nowiki,326,48.0,278.0,323,63.0,260.0,31.25%,-6.47%
viwiki,640,100.0,540.0,647,138.0,509.0,38.0%,-5.74%
thwiki,372,47.0,325.0,415,73.0,342.0,55.32%,5.23%
kowiki,618,122.0,496.0,648,223.0,425.0,82.79%,-14.31%
